threads,add,contains,remove,population
2,1177,506,1180,82543
4,2690,1166,2716,76229
6,2961,1275,2982,75831
8,3603,1553,3642,74873
10,5619,2435,5654,74932
12,4808,2082,4862,74923
14,4719,2026,4743,74982
16,6508,2804,6556,74756
18,4996,2164,5024,74672
20,5465,2363,5504,74729
22,5423,2343,5450,75081
24,5062,2188,5104,74690
