threads,add,contains,remove,population
2,483,208,490,113943
4,915,394,918,129705
6,1251,538,1267,142276
8,1074,461,1079,139849
10,1200,518,1202,142941
12,1241,535,1254,145234
14,2389,1037,2418,171011
16,1276,555,1292,144843
18,1198,522,1211,142976
20,1178,512,1192,143454
22,1220,529,1227,145515
24,1219,528,1219,143829
