threads,add,contains,remove,population
2,494,211,488,90121
4,992,428,998,83792
6,1017,438,1027,83139
8,1233,532,1238,81304
10,2576,1116,2606,76733
12,1449,618,1453,80351
14,1580,678,1582,79727
16,2991,1286,2995,76344
18,1503,644,1518,79481
20,1578,679,1594,79027
22,2846,1230,2858,76349
24,1473,627,1478,80235
