threads,add,contains,remove,population
2,1444,622,1444,82781
4,1441,627,1458,82607
6,1444,629,1456,82581
8,1430,620,1452,82554
10,1435,622,1452,82659
12,1179,506,1189,84617
14,1416,620,1432,82429
16,1390,604,1409,82645
18,1391,600,1389,83130
20,1424,618,1430,82826
22,1367,592,1383,83205
24,1365,587,1377,83170
